"","V85","V86","V87","V88","V89","V227","V211","V214","V248","V191","V242","V240","V141","C_COW_ALPHA","V84","V103","V29","V28","V25","V30","V32","V34","V35","V116","V115","V227.1","V229","V191.1","V248.1","V118","V115.1","V105"
"80894",3,3,3,3,3,1,4,1,6,NA,73,2,1,"UKR",4,2,0,0,0,0,0,0,0,4,3,1,4,NA,6,3,3,4
"80895",3,3,3,3,3,1,1,1,7,1,69,2,6,"UKR",2,2,0,0,0,0,0,0,0,4,4,1,4,1,7,4,4,4
"80896",3,3,3,3,3,2,3,2,2,1,63,2,1,"UKR",3,2,0,0,0,0,0,0,0,3,2,2,4,1,2,4,2,3
"80897",3,3,3,3,3,1,2,1,5,1,75,2,1,"UKR",3,1,0,0,0,0,0,0,0,3,2,1,4,1,5,3,2,2
"80898",3,3,3,3,3,1,5,3,5,2,70,2,4,"UKR",2,2,0,0,0,0,0,0,0,3,3,1,4,2,5,3,3,2
"80899",3,3,3,3,3,3,3,1,5,2,82,2,5,"UKR",3,2,0,0,0,0,0,0,0,3,3,3,4,2,5,2,3,3
"80900",3,3,3,3,3,1,3,2,9,2,60,2,5,"UKR",2,2,0,0,2,0,0,0,0,2,2,1,4,2,9,2,2,3
"80901",3,3,3,3,3,1,3,1,6,2,73,2,2,"UKR",3,2,0,0,0,0,0,0,1,3,3,1,5,2,6,1,3,4
"80902",2,3,2,3,3,1,3,4,5,2,68,2,4,"UKR",1,1,0,0,0,0,0,0,0,3,3,1,4,2,5,3,3,3
"80903",3,3,3,3,3,2,3,2,6,1,78,2,9,"UKR",3,2,0,0,0,0,0,0,0,3,3,2,4,1,6,3,3,3
"80904",3,3,3,3,3,2,5,3,7,1,69,2,4,"UKR",2,2,1,1,1,0,0,0,0,2,4,2,4,1,7,3,4,3
"80905",2,2,2,2,2,1,2,2,7,1,69,2,4,"UKR",4,2,0,0,0,0,0,0,0,3,3,1,4,1,7,2,3,3
